ticker,final_score,trade_action,raw_score,options_score,ivp,vrp,ivp_score,vrp_score,phi_score,psi_score,si_avoidance_score,put_skew_penalty,scoring_date,signal_version,regime,regime_gate
AARD,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ABBV,13.5,AVOID,27.0,27.0,11.864406779661016,-0.004578643754435,8.93,27.0,8.93,27.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ABCL,14.105,AVOID,28.21,28.21,64.40677966101694,2.0288311689767653,64.29,28.21,64.29,28.21,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ABEO,40.88,BUY,81.76,81.76,86.4406779661017,92.26641875248694,87.5,81.76,87.5,81.76,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ABOS,38.905,BUY,77.81,77.81,61.01694915254237,85.59802160187394,60.71,77.81,60.71,77.81,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ABSI,17.665,WATCH,35.33,35.33,71.1864406779661,14.030200817845,71.43,35.33,71.43,35.33,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ABT,15.1,WATCH,30.2,30.2,81.35593220338984,5.394585714448109,82.14,30.2,82.14,30.2,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ABUS,21.01,WATCH,42.02,42.02,13.559322033898304,25.301883837191237,10.71,42.02,10.71,42.02,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ABVX,22.605,WATCH,45.21,45.21,27.11864406779661,30.670270015116145,25.0,45.21,25.0,45.21,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ACAD,11.475,AVOID,22.95,22.95,35.59322033898305,-6.833947066509367,33.93,22.95,33.93,22.95,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ACB,12.735,AVOID,25.47,25.47,16.94915254237288,-2.5878059094009416,14.29,25.47,14.29,25.47,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ACHV,29.965,WATCH,59.93,59.93,77.96610169491525,55.48194407295812,78.57,59.93,78.57,59.93,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ACLX,0.0,AVOID,0.0,0.0,13.559322033898304,-194.79912572590376,10.71,0.0,10.71,0.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ACRS,26.5,WATCH,53.0,53.0,13.559322033898304,43.80716429851421,10.71,53.0,10.71,53.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ADCT,30.875,BUY,61.75,61.75,59.32203389830508,58.54513844165378,58.93,61.75,58.93,61.75,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ADMA,15.175,WATCH,30.35,30.35,16.94915254237288,5.6422433941614685,14.29,30.35,14.29,30.35,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ADPT,23.79,WATCH,47.58,47.58,54.23728813559322,34.668175006418615,53.57,47.58,53.57,47.58,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
