ticker,company_name,exchange,gics_sub_industry,gics_name,market_cap,addv_usd,mcap_tier,in_xbi,in_ibb,source,universe_date
ABBV,AbbVie Inc.,NYSE,35202010,Pharmaceuticals,407156260864.0,1578009105.2689617,large_cap,True,False,EDGAR,2026-03-06
AMGN,Amgen Inc.,NASDAQ,35201010,Biotechnology,199085768704.0,1067934027.6765951,large_cap,True,True,EDGAR,2026-03-06
GILD,"Gilead Sciences, Inc.",NASDAQ,35201010,Biotechnology,178733531136.0,1192366819.9746704,large_cap,True,True,EDGAR,2026-03-06
VRTX,Vertex Pharmaceuticals Incorpor,NASDAQ,35202010,Pharmaceuticals,116029743104.0,682422838.6647543,large_cap,True,True,EDGAR,2026-03-06
REGN,"Regeneron Pharmaceuticals, Inc.",NASDAQ,35202010,Pharmaceuticals,80368197632.0,594957520.6451416,large_cap,True,True,EDGAR,2026-03-06
ARGX,argenx SE,NASDAQ,35201010,Biotechnology,44562239488.0,301050081.4090983,large_cap,False,True,EDGAR,2026-03-06
ALNY,"Alnylam Pharmaceuticals, Inc.",NASDAQ,35202010,Pharmaceuticals,42483171328.0,484624025.1494344,large_cap,True,True,EDGAR,2026-03-06
ONC,BeOne Medicines Ltd.,NASDAQ,35202010,Pharmaceuticals,33257693184.0,91957163.07698567,large_cap,False,True,EDGAR,2026-03-06
INSM,Insmed Incorporated,NASDAQ,35202010,Pharmaceuticals,30213910528.0,366824114.40663654,large_cap,True,True,EDGAR,2026-03-06
NTRA,"Natera, Inc.",NASDAQ,35203010,Life Science Tools & Services,28081213440.0,242388307.02051798,large_cap,True,True,ETF,2026-03-06
BIIB,Biogen Inc.,NASDAQ,35201010,Biotechnology,27122442240.0,244831225.12405396,large_cap,True,True,EDGAR,2026-03-06
BNTX,BioNTech SE,NASDAQ,35201010,Biotechnology,25374115840.0,81919648.1351471,large_cap,False,True,EDGAR,2026-03-06
UTHR,United Therapeutics Corporation,NASDAQ,35202010,Pharmaceuticals,20984477696.0,184909777.75105795,large_cap,True,True,EDGAR,2026-03-06
ROIV,Roivant Sciences Ltd.,NASDAQ,35202010,Pharmaceuticals,20622927872.0,171587633.49655786,large_cap,True,True,EDGAR,2026-03-06
MRNA,"Moderna, Inc.",NASDAQ,35201010,Biotechnology,20592142336.0,578281522.0807139,large_cap,True,True,EDGAR,2026-03-06
